ENTREPRISE;PROJET;THEMATIQUE;PAGE;VAGUE;LOCALISATION;MONTANT_PROJET;MONTANT_AIDE;REALISATION;ACTIVITE_ENTREPRISE;OBJECTIF_PROJET
percipio robotics;french precision;french fab;96;1;DOUBS (25); 1 423 441 €;; 2018 - 2021;"Percipio Robotics, une deep tech fondée par des chercheurs en 2011 qui 
construit les outils robotiques nécessaires à la réalisation de machines 
industrielles de micro-assemblage. Ces machines de haute technologie 
construiront demain les produits ultra-miniaturisés qui feront partie de notre 
quotidien (électronique, médical, aéronautique et spatial, énergie...).";"L’assemblage haute précision de produit ultra-miniaturisés, que nous 
appelons micro-assemblage, est un pilier de la robotique high tech, présente 
un marché universel, et innove sans cesse : la French Fab est la dynamique 
qu’attendait Percipio Robotics pour essaimer. Nous allons développer les 
outils de communication, d’adaptabilité et de maintenance innovante pour 
les futures machines robotisées de l’industrie française et européenne. 
Nous ferons appel aux dernières innovations à travers un programme R&D 
ambitieux et participerons au rayonnement et à la dissémination autour de 
cette thématique, pour notre secteur et des secteurs plus traditionnels en 
France (intégrateurs robotiques, machine-outils, assemblage manuel, etc.)."
pherecydes pharma;phagogramme;santé;85;1;"SEINE-SAINT-DENIS 
(93)"; 785 000 €;; 2018 - 2020;"Fondée en décembre 2006, Pherecydes Pharma est la première PME 
française de biotechnologie qui se soit concentrée sur le développement de 
la phagothérapie, l’approche aujourd’hui la plus prometteuse et la plus fiable 
pour faire face à l’antibiorésistance.";"Pour que la phagothérapie soit pleinement efficace, elle doit être 
personnalisée afin de traiter au mieux l’infection du patient. Pherecydes 
Pharma ambitionne ainsi de développer un « phagogramme » automatisé et 
préalable au traitement pour tester la sensibilité d’une souche bactérienne 
vis-à-vis d’un ou plusieurs phages. Le phagogramme permettra d’identifier 
les 1 à 4 phages thérapeutiques « sur-mesure », spécifiquement actifs 
contre l’infection d’un patient et rendra donc le traitement efficace."
pricemoov;prm;numérique;71;1;VAL-DE-MARNE (94); 2  000 000;; 2018 - 2019;"Pricemoov propose une solution SaaS de tarification dynamique multisectorielle 
permettant d’aider les entreprises à perfectionner leurs prix en fonction 
de plusieurs critères dont la demande, la catégorisation des clients et le 
contexte d’achat. Utilisant de l’IA, la solution de tarification dynamique en 
temps réel permet aux sociétés de maximiser leurs revenus.";"Plusieurs facteurs augmentent la nécessité pour les entreprises de jouer 
agilement avec leurs prix. Le plus visible étant le parcours client omni canal. 
De fait, proposer une offre tarifaire cohérente est devenu indispensable. 
La complexité des systèmes, la multiplication des données, et les barrières 
technologiques imposent aux entreprises de faire appel à des solutions 
externes pour optimiser leur chiffre d’affaires. Pricemoov souhaite se 
positionner comme la solution de « dynamic pricing » en temps réel de 
référence.  L’objectif est de mettre l’accent sur la technologie et le produit, 
pour atteindre une dizaine de clients en 2018 dans plusieurs secteurs 
d’activités. "
prove & run;provenstore;sécurité et cybersécurité;91;1;"PARIS (75) ET 
ALPES-MARITIMES (06)"; 800 000 €;; 2018 - 2020;"Prove & Run a pour mission d’aider ses clients à répondre aux problèmes 
de cybersécurité liés à l’usage à grande échelle des appareils connectés 
et au déploiement de l’Internet des objets. Avec ses briques logicielles de 
haute sécurité elle protège les objets connectés contre les cyberattaques à 
distance.";"Les services « Cloud » permettent aux TPE/PME de bénéficier d’un niveau 
de service IT réservé aux grands groupes. Mais le Cloud ne résout pas tous 
leurs problèmes, en particulier la dépendance fréquente par rapport à un 
administrateur IT potentiellement malveillant. Les fournisseurs de « Cloud » 
n’offrent que peu de garanties de confidentialité et d’intégrité sur les données 
stockées. ProvenStore proposera une solution logicielle sécurisée, prête à 
être intégrée dans une « box » qui permettra aux TPE/PME de profiter des 
avantages du Cloud en conservant un contrôle total sur leurs données et en 
évitant de dépendre d’un administrateur unique."
reuniwatt sas;deep pv forecasting – dpvf;énergies renouvelables, stockage et systèmes énergétiques;19;1;"FRANCE,  
RÉUNION (974) ET PARIS (75)"; 787 376 €; 334 352 €; 2018 - 2020;"REUNIWATT développe des outils de gestion intelligente de l’énergie à l’aide
des Technologies de l’Information et de la Communication pour soutenir 
l’insertion massive et sécurisée de l’énergie photovoltaïque dans les réseaux
électriques.";"Le projet Deep PV Forecasting vise à développer un outil de prévision de 
la production photovoltaïque à destination des portefeuilles de centrales 
photovoltaïques stratégiques, nécessitant un haut niveau de performance 
prédictive sur chacune des centrales et un engagement commercial sur ce 
niveau.
Cet outil utilise les technologies de Deep Learning afin d’apprendre 
la météorologie hyperlocale aux abords de chacune des centrales 
photovoltaïques, et ce grâce aux données météorologiques et satellites 
agrégées et produites en temps-réel. Ce service s’appuie sur l’entrepôt 
de données massif de REUNIWATT ainsi que sur les infrastructures à la 
demande pour garantir performance prédictive et scalabilité totale."
seair;foil’gee;transport et mobilité durable;33;1;MORBIHAN (56); 793 500 €; 353 251 €; 2018 - 2020;"SEAir conçoit et fabrique des foils, ainsi que l’équipement nécessaire pour les 
piloter. L’offre consiste à modifier des bateaux déjà existants par l’adjonction 
de systèmes brevetés SEAir. L’enjeu est de fournir des « kit foil » à intégrer 
directement sur les chaînes de montage des nouveaux bateaux.";"L’objectif du projet FOIL’GREEN ELECTRICAL ENGINE est de développer une 
nouvelle technologie d’un bateau volant électrique, équipés de blocs foils 
rétractables repensés, pour les bateaux semi-rigides, puis pour les coques 
rigides. L’entreprise opère ainsi une transition écologique et énergétique 
en économisant 30% d’énergie fossile avec pour objectif d’atteindre 100% 
ensuite en basculant sur du tout électrique.
Avec Foil’GEE, SEAir ambitionne de devenir le premier acteur à se 
positionner sur le marché du bateau à moteur de capacité 5 à 20 personnes, 
équipé de foils et motorisé électriquement. Ces bateaux pourraient être 
immédiatement exploitables en 2020."
seaviews;carthabs;écosystèmes terrestres, aquatiques et marins;53;1;BOUCHES-DU-RHÔNE (13); 601 600 €; 270 720 €; 2018 - 2021;"SEAVIEWS est une PME spécialisée en cartographie sous-marine par 
méthode acoustique et par photogrammétrie. Les domaines d’actions de 
SEAVIEWS concernent principalement les habitats marins naturels et 
artificiels ainsi que les aménagements côtiers.";"Le projet CartHabS vise à développer de nouvelles méthodes acoustiques 
pour cartographier les habitats marins (herbiers sous-marins, sable, roches 
profondes) et étudier leur structure. Le projet s’appuie sur l’utilisation d’un 
sondeur multifaisceau dernière génération capable de fournir des données 
haute résolution sur de larges surfaces. Le développement d’algorithmes 
de classification des fonds durant le projet permettra d’améliorer la 
connaissance de la répartition des habitats marins avec un coût moindre par 
rapport aux techniques classiques de cartographie."
sentryo;kitea;sécurité et cybersécurité;92;1;VILLEURBANNE (69); 793 000 €;; 2018 - 2021;"Éditeur de solution de Cyber sécurité pour l’Internet Industriel, Sentryo 
aide les entreprises, à assurer la disponibilité, la résilience et la sécurité 
de leurs systèmes de contrôle industriels en profitant de la transformation 
numérique et en luttant contre les cyberattaques.";"Le projet KITEA vise à mettre au point un système intelligent de surveillance 
de cybersécurité.
Tirant parti d’algorithmes d’Intelligence Artificielle non supervisés, il 
permettra à un utilisateur de visualiser et hiérarchiser des données 
massives. En suivant une logique d’Active Learning, il sera possible d’orienter 
l’apprentissage, ainsi que les anomalies détectées, dans une direction utile 
et plus proche des attentes de l’utilisateur métier (spécificités du domaine 
local, communications particulières). Le projet KITEA portera également 
une attention particulière à la caractérisation des flux inconnus et chiffrés. 
Le projet KITEA sera valorisé au travers des partenariats dans les domaines 
industriels et urbains : Smart Grid, Smart City Autonomous Driving et 
Industrie 4.0."
shippeo;sasha;numérique;72;1;PARIS (75018); 3 289 370;; 2018 - 2019;"Shippeo a créé le premier outil collaboratif de tracking et de visibilité en 
temps réel pour le transport routier de marchandises. Elle travaille avec 
plus de 30 grands comptes, fait appel à la plateforme SaaS pour maîtriser 
leurs flux en interaction avec les chargeurs, transporteurs, conducteurs.";"A partir de la plateforme de visibilité temps réel du transport routier de 
marchandises développée à ce jour par Shippeo, l’objectif est de développer 
des modules innovants permettant d’optimiser les transports à des niveaux 
sans précédent, comme par exemple sur le calcul des heures estimées 
d’arrivée, le portail client et la synchronisation de la supply-chain, ou encore 
la lette de voiture digitale (E-CMR). 
Les produits développés dans le projet s’additionnent à la plateforme 
et sont donc commercialisables de façon identique au processus de 
commercialisation actuel, ce qui permettra à Shippeo de capitaliser sur son 
leadership affirmé en France."
sidetrade;eurofirmo;numérique;73;1;HAUTS-DE-SEINE (92); 3 605 867;; 2018 - 2020;"Nos efforts en R&D ces 3 dernières années (développement d’un lab de 
Data Science, investissement dans 2 start-ups à la pointe de l’Intelligence 
Artificielle, lancement de Sidetrade Payment Intelligence solution) nous 
permettent de proposer aujourd’hui de nouvelles solutions qui couvrent 
l’ensemble du cycle client, depuis le lead jusqu’au paiement des factures. 
Avec un objectif unique : aider les Directions Marketing, Commerciales et 
Financières à développer le Chiffre d’Affaires et accélérer la génération de 
cash.";"Un jeu de données complet et maintenu à jour sur les 26 M d’entreprises des 
28 pays de l’UE aurait de multiples avantages et usages potentiels pour de 
nombreux utilisateurs différents : individus, entreprises et pouvoirs publics. 
Nous nous proposons de construire un tel jeu de données, de mettre en 
place son mécanisme de mise à jour, d’évaluer sa qualité et sa complétude, 
de fournir des outils pour l’utiliser et de développer un tableau de bord 
marketing unique."
skillup;mlform;numérique;74;1;PARIS (75002); 778 550 €;; 2018 - 2019;"Skillup est une solution numérique innovante pour accélérer le développement 
des talents via la formation. Afin d’impliquer les collaborateurs, améliorer 
la qualité des formations proposées et simplifier la charge administrative 
des RH, Skillup a développé la première marketplace de formations 
professionnelles, adossée à des outils de gestion de la formation.";"Le projet vise à développer une solution technologique permettant 
l’extraction, la normalisation, puis l’enrichissement à grande échelle des 
centaines de milliers de formations proposées par les organismes de 
formation français. L’objectif est de pouvoir proposer aux individus la base de 
données la plus vaste et la plus qualitative de formations professionnelles 
en France, associée à un moteur de recommandation, afin de leur permettre 
d’accéder à une information complète, organisée et navigable sur l’offre 
de formation professionnelle disponible en France. L’utilisation poussée 
des technologies de big data, de NER et de l’entraînement de réseaux de 
neurones seront mobilisés par l’équipe projet."
solean;shine lean solar;french fab;97;1;"LE BOURGET  
DU LAC (73)"; 798 166 €;; 2018 - 2020;"SOLEAN a l’ambition de transformer les techniques d’assemblage de 
panneaux solaires pour permettre le développement massif de l’industrie 
française du BIPV – le photovoltaïque intégré au bâtiment. L’entreprise 
développe un procédé d’automatisation intégré à des robots collaboratifs 
intelligents et offre des services ciblés pour maximiser la performance 
globale de la solution.";"SHINE LEAN SOLAR vise à valider un démonstrateur industriel pour 
l’assemblage automatisé de tous types de panneaux photovoltaïques 
standards et intégrés aux bâtiments. Pour la première fois, ces produits 
seront assemblés localement de façon autonome et flexible, avec un haut 
de niveau de productivité et rentabilité. La filière photovoltaïque française 
pourra s’affranchir d’un verrou à l’industrialisation de ces produits et de la 
domination des produits « made in Asia »."
soleo eco-solutions;fourmanioc;agriculture innovante;47;1;"MONTLHÉRY 
(91), CRÉTEIL (94), GUADELOUPE ET 
GUYANE (97), BÉZIERS (34)"; 763 317 €; 336 129 €; 2018 - 2020;"Start-up issue de la recherche publique, SOLEO ECO-SOLUTIONS développe
des solutions écologiques, à base de substances naturelles, contre les 
fourmis coupeuses de feuille et les termites. Ces insectes constituent les 
principaux ravageurs des cultures et des exploitations forestières en zone 
tropicale.
En Guadeloupe et en Guyane aucune solution n’est aujourd’hui disponible.";"Le projet s’appuie sur des découvertes innovantes émanant de laboratoires
publics sur une première série d’essais terrains en Guadeloupe réussis (2017)
et sur une première étape franchie à Béziers en matière d’industrialisation 
des procédés de fabrication.
Il consiste à poursuivre pour 3 marchés, le développement de produits de 
biocontrôle contre les fourmis coupeuses de feuille et les termites, par des 
essais terrains robustes et séquencés et du développement industriel et 
règlementaire.
A mi-projet, une solution sera commercialisée sur le marché guadeloupéen 
afin de démontrer son efficacité en termes de hausse des rendements 
agricoles et de préservation de la biodiversité."
spectralys innovation;opti mill;alimentation intelligente;103;1;;de 996 K€);;Le projet se déroule sur 24 mois, de;"Le projet OPTI MILL a pour objectif de développer une plateforme analytique 
unique permettant de mesurer en temps réel l’ensemble des critères 
pertinents de qualité des blés et farines. De plus un outil d’aide à la décision 
sera mis en place à destination des meuniers afin de proposer le mélange 
optimal pour assurer la qualité du pain baguette chez l’industriel ou l’artisan 
en fonction du cahier des charges. 
Le projet est porté par SPECTRALYS Innovation, spécialisée dans le 
développement de solutions analytiques optiques de rupture, non-
destructives, sensibles et en temps réel. Cette technologie est basée sur 
l’utilisation innovante des signaux de fluorescence naturelle émis par les 
produits biologiques et alimentaires.";"Ce projet permettra à la filière céréalière de gagner en résilience face aux 
aléas climatiques en proposant une valorisation optimale des matières 
premières."
spygen sas;alive;écosystèmes terrestres, aquatiques et marins;54;1;SAVOIE (73); 723 066 €; 325 379 €; 2018 - 2020;"SPYGEN est un laboratoire d’expertise scientifique et de recherche appliquée 
spécialisé dans le suivi de la biodiversité aquatique et terrestre grâce à 
l’ADN environnemental (ADNe). Les technologies développées permettent 
d’améliorer le suivi d’espèces rares ou discrètes et visent à renforcer les 
opérations de veille environnementale à l’échelle mondiale.";"Le projet ALIVe (All Life InVentory using eDNA) a pour objectifs de 
développer et standardiser des méthodes innovantes d’inventaire de la 
biodiversité globale basées sur l’ADN environnemental et de créer une 
plateforme web de cartographie pour favoriser le partage et le traitement 
de ces données génétiques. Il vise également à concevoir de nouveaux 
indicateurs de biodiversité permettant d’évaluer efficacement l’état de santé 
des écosystèmes à l’échelle mondiale et de suivre leur évolution au cours 
du temps."
steadysun;monuter;énergies renouvelables, stockage et systèmes énergétiques;20;1;SAVOIE (73); 722 400 €; 325 080 €; 2018 - 2021;"STEADYSUN développe des outils qui proposent des services de prévision de
production solaire à haute précision, pour des horizons allant de quelques 
minutes à plusieurs jours. Les prévisions de production sont obtenues 
en couplant l’analyse des données des centrales solaires, les prévisions 
météorologiques, les données satellites et les images prises sur site.";"Le projet MoNuTeR s’inscrit dans le domaine de la prévision de la production
des centrales solaires. Il porte sur le développement d’une nouvelle 
génération de technologie et service de prévision. Il vise à mettre au point 
des modèles météorologiques régionaux spécialement adaptés au solaire et 
à la problématique locale.
L’objectif du projet est d’industrialiser le process d’optimisation, de 
déploiement et d’exploitation de tels modèles."
stiral;comhex cu-al;transport et mobilité durable;34;1;ISÈRE (38); 798 768 €; 348 300 €; 2018 - 2021;"STIRAL fabrique des échangeurs de chaleur à micro-canaux (1/10 de 
millimètre) en acier inoxydable. Ces échangeurs baptisés COMHEX sont 5 
fois plus petits et 4 fois plus légers que les produits actuels. Ils permettent de 
limiter les quantités de liquides frigorigènes présents dans les condenseurs 
des pompes à chaleur.";"Le cuivre pour les applications marines et l’aluminium pour les applications 
terrestres sont nécessaires pour bénéficier de la compacité, la faible masse, 
la large plage de fonctionnement et l’efficacité énergétique de COMHEX. 
STIRAL propose une solution au management thermique des batteries de 
véhicules électriques type Li-ion : à la charge, il est indispensable d’éviter 
un échauffement excessif en évacuant de façon efficace les calories au 
coeur des batteries. Les échangeurs COMHEX en aluminium permettront de 
garantir le nombre de cycle prévu, même avec les chargeurs de plus en plus 
puissants mis sur le marché, jusqu’à 350 kW aujourd’hui."
surfactgreen;t2bio;french fab;98;1;ILLE-ET-VILAINE (35); 2 900 000;; 2018 - 2021;"SurfactGreen développe, formule et commercialise des tensioactifs verts 
pour des applications dans des domaines variés tels que la détergence, 
la cosmétique, les émulsions bitumeuses ou encore l’agriculture. Sa 
technologie est issue des travaux de recherche des professeurs Plusquellec 
et Benvegnu depuis 1984 sur le développement de tensioactifs verts issus 
de matières premières naturelles.";"Le projet T2BIO a pour objet la synthèse et le développement de tensioactifs 
cationiques et anioniques 100% biosourcés issus respectivement de glycine 
bétaïne et de matière algale, la mise au point et la validation de procédés 
de production associé, ainsi que la validation de leur performance en 
conditions industrielles grâce à des partenariats étroits avec des entreprises 
utilisatrices."
tenevia;cam-waterquality;écosystèmes terrestres, aquatiques et marins;55;1;MEYLAN (38); 640 060 €; 273 402 €; 2018 - 2020;"Spécialiste de l’information environnementale numérique, TENEVIA 
développe et propose des solutions novatrices pour la Mesure, la Surveillance 
et la Prévision. Ces principaux domaines d’activités sont les Risques Naturels 
(crues, chute de blocs, …), Energies Renouvelables (Hydroélectricité, 
Photovoltaïque) et Ressources naturelles (Gestion de l’eau).";"Rarement disponible, l’information sur la qualité des masses d’eaux n’est pas 
facile à obtenir. Fort de son développement dans le domaine de l’information 
environnementale par caméra, TENEVIA développe une caméra intelligente 
pour le suivi qualitatif de l’eau. Reposant sur une approche multifonctionnelle 
celle-ci s’adressera aussi bien aux acteurs de la protection de l’environnement 
qu’à des industriels de l’énergie et de l’environnement. Le projet “CAM-
WaterQuality’’ sera validé et testé sur plusieurs sites d’ici à 2020."
therapixel sa;mammoscreen;numérique;75;1;"ALPES-MARITIMES 
(06) - PARIS (75)"; 790 000 €;; 2018 - 2019;"Therapixel est une société éditeur de logiciel spécialisée dans l’imagerie 
médicale. Elle développe des algorithmes d’aide à la décision pour 
l’interprétation d’images. Notre objectif : positionner un radiologue digital du 
meilleur niveau dans chaque cabinet de radiologie.";"Une femme sur huit sera confrontée au cancer du sein au cours de sa vie. 
Sa détection précoce par l’examen de mammographie représente cependant 
un véritable enjeu : deux lectures sont mises en place en France, où près d’un 
cancer sur dix est manqué par le premier lecteur. MammoScreen propose 
un service d’automatisation de la première lecture des mammographies. 
La promesse de notre algorithme : une performance augmentée par rapport 
aux experts, pour un coût de l’interprétation inférieur."
tiamat;powerbat;énergies renouvelables, stockage et systèmes énergétiques;21;1;SOMME (80);3 401 000 €; 1 239 000 €; 2018 - 2020;"TIAMAT conçoit, développe et fabrique des batteries à charge ultra-rapide 
(quelques minutes) et à longue durée de vie (plusieurs milliers de cycles). La
technologie de rupture utilisée pour développer ces batteries de puissance 
est la technologie sodium-ion, industrialisable rapidement car le sodium-ion
est compatible avec les usines existantes et en construction.";"Le projet POWERBAT vise à développer des batteries sodium-ion comme 
alternative au lithium-ion, sans Lithium, sans Cobalt sur le marché du 
stockage de puissance et à charge rapide.
Les objectifs du projet sont les suivants :
1. Optimiser les performances des batteries Sodium-ion ;
2. Valider les performances de packs batteries avec des utilisateurs afin de
générer des commandes et de lancer un Démonstrateur Industriel en 2020."
tictactrip;marit;transport et mobilité durable;35;1;PARIS (75); 619 440 €; 278 748 €; 2018 - 2019;"Créée en 2016, Tictactrip est une start-up technologique, proposant un 
concept nouveau de MaaS (Mobility as a Service) lié aux usages innovants 
de mobilité des personnes aux niveaux local, régional, national et européen.";"Les travaux antécédents ont permis de réaliser un graphe et un mapping 
unique de l’Europe sur lequel se base le moteur d’itinéraires Tictactrip. Les 
algorithmes actuels de calculs d’itinéraires proposent ainsi les trajets les 
plus pertinents à l’utilisateur.
A travers ce projet, l’objectif est de devenir le premier moteur d’itinéraire 
intermodal spécialisé terrestre à l’échelle européenne. Les travaux de 
développement permettront :
D’étoffer le maillage par agrégation et normalisation des données d’un 
maximum d’acteurs régionaux.
De réaliser un système de paiement afin de simplifier l’interface utilisateur 
en permettant la réservation des trajets combinés (train/bus, train/navette) 
directement sur la plateforme.
ip"
triskem international;c.l.i.p.s. 2020;french fab;99;1;"BRUZ,  
ILLE-ET-VILAINE (35170)"; 1 448 283 €;; 2018 - 2020;"TrisKem, entreprise de 15 salariés, recherche, développe et produit des 
résines hautement sélectives permettant de rendre les procédés de 
séparation chimique à la fois plus précis et plus efficaces que les méthodes 
traditionnellement utilisées.
TrisKem vend ses résines dans une soixantaine de pays dans le monde.";"Créer une rupture technologique dans l’industrialisation des processus de 
fabrication des résines hautement sélectives et répondre ainsi aux attentes 
des industriels dans les domaines de la médecine nucléaire, du traitement 
des effluents radioactifs et du recyclage des métaux critiques en fournissant 
une production de quelques dizaines de kilo à la tonne de résines dans des 
délais courts et à des tarifs performants pour le marché.
C.L.I.P.S. 2020 amènera des innovations environnementale, technologique 
et organisationnelle qui représenteront à la fois un challenge important 
pour l’entreprise, une opportunité d’accroître fortement son activité et enfin, 
une opportunité d’exporter son savoir-faire dans le domaine des résines 
hautement sélectives. "
trustbk;margo bank;numérique;76;1;PARIS (75010);;; 2018 - 2020;"Margo Bank commercialisera, début 2019, un nouvel établissement bancaire 
au service des petites et moyennes entreprises pour répondre à leurs 
attentes et leurs besoins. Margo Bank veut proposer une offre de paiement 
et de dépôt et de crédit conçue sur mesure pour les PME.";"L’objectif de ce projet est de renforcer l’offre de Margo Bank par le 
développement d’une interface intelligente dédiée aux banquiers qui 
permettra d’offrir aux PME le meilleur service sur le marché. Cette interface 
reposera sur des technologies de Deep-Learning et de Big Data afin 
d’accélérer le processus de prise de décision des banquiers, et in fine de 
raccourcir les délais de traitement pour les PME."
uptime;pemsys;numérique;77;1;"PARIS (75) & 
 ROUEN (76)"; 859 779 €;; 2018 - 2019;"UPTIME développe une technologie englobante de maintenance, qui permet 
un nouveau mode opératoire préventif puis prédictif. Les interventions de 
techniciens sont optimisées pour maximiser l’exploitation de leur expertise 
grâce à la technologie, tandis que le modèle contractuel bascule des visites 
d’inspection à un engagement sur la disponibilité de l’appareil. ";"Le secteur de la maintenance d’ascenseurs est aujourd’hui un marché 
sous-efficient, dominé par un oligopole étranger, avec un niveau de 
développement technologique très faible, et soumis à un modèle de visites 
d’inspection obsolète. Les ascenseurs ont été modernisés, les visites ne 
sont plus nécessaires, ce qui entraîne souvent un cercle vicieux où la réelle 
maintenance n’est effectuée qu’après une panne.
Créée en 2016, UPTIME insère une couche technologique supplémentaire 
dans le métier de la maintenance d’ascenseurs, dans le but d’augmenter 
nettement la qualité de service pour les usagers, et de réduire les coûts pour 
les clients."
vaxinano;nanovaxin;santé;86;1;LILLE (59); 750 277 €;; 2018 - 2020;"Vaxinano est spécialisée dans le développement de vaccins prophylactiques 
et thérapeutiques contre les maladies infectieuses, sur les marchés de la 
santé humaine et animale. Nous développons des vaccins sûrs, plus stables, 
plus efficaces et sans adjuvant. Notre technologie brevetée est centrée sur 
l’utilisation de nanoparticules biodisponibles et bioéliminables.";"Vaxinano développe une plateforme vaccinale, basée sur des nanoparticules 
(NP) brevetées. Le projet NANOVAXIN a pour objectif le passage d’une 
production de NP de l’échelle de laboratoire à un processus industrialisable. 
Vaxinano veut alors obtenir des NP produites selon les conditions de 
« Bonnes pratiques de fabrication (BPF) ». Afin de les tester dans le cadre 
d’une première application, un vaccin contre la toxoplasmose sera généré 
et caractérisé. Son absence de toxicité et son efficacité seront investiguées 
sur une cohorte de primates de zoos. Cela permettra de se rapprocher du 
marché avec un premier vaccin humain contre cette parasitose.
© Vaxinano"
vekia;suppl.ai;numérique;78;1;NORD (59); 4 247 558;; 2018 - 2020;"Start-up technologique française, VEKIA fournit des solutions logicielles 
pour la Supply Chain utilisant des algorithmes d’intelligence artificielle. 
Installées sur plus de 2500 sites en France et 70 pays dans le monde, 
les solutions VEKIA équipent des grandes enseignes (MR BRICOLAGE, 
BUT, OKAïDi, UNDIZ, RENAULT, ENGIE) pour l’optimisation des chaînes 
d’approvisionnement.";"Le projet suppl.AI porté par la société VEKIA a comme principal objectif 
de déployer une solution Cloud Big data en mode Saas dédiée à la Supply 
Chain fournissant des prévisions de haute fiabilité, pour accompagner les 
clients dans la transition digitale, durable et agile, grâce à un moteur unique 
d’intelligence artificielle.
Le projet suppl.AI permettra d’intégrer de nouvelles briques technologiques 
au moteur d’apprentissage propriétaire de VEKIA, développer de nouveaux 
outils d’optimisation sous contraintes environnementales et économiques, 
renforcer la sécurité et la résilience de notre solution et commercialiser une 
gamme d’APIs de prédiction de la demande et d’optimisation des stocks."
voltinov;be-light;énergies renouvelables, stockage et systèmes énergétiques;22;1;BAS-RHIN (67); 791 960 €; 328 977 €; 2018 - 2020;"VOLTINOV possède une expertise dans les domaines du photovoltaïque 
tels que les procédés de fabrication, la caractérisation des composants, la 
conception de nouveaux produits.
La société développe également une activité de bureau d’étude et de conseil
pour le développement technique et le montage de projets photovoltaïques.";"L’objectif du projet BE LIGHT est de pouvoir fournir une solution photovoltaïque
complète permettant de répondre aux problématiques d’intégration de 
modules en toiture à structure légère tout en fournissant des niveaux de 
productibles très élevés pour une surface de cellules photovoltaïques 
réduites.
Le système développé vise une haute qualité environnementale (bas bilan 
carbone, respect de la norme ROhS, durabilité) et s’adresse au marché de 
l’autoconsommation en proposant, grâce aux cellules bifaces, une courbe 
de production lissée sur toute l’année et non plus optimisée pour les saisons
estivales et printanières."
vulog;maaslab;transport et mobilité durable;36;1;ALPES-MARITIMES (06);2 595 398 €; 1 138 568 €; 2018 - 2020;"Vulog est actuellement le leader mondial indépendant des solutions 
technologiques de mobilité partagée.
Vulog fournit une plateforme SaaS (Software-as-a-Service) offrant des 
services innovants d’autopartage, en free-floating, de station à station ou en 
boucle, aux opérateurs de mobilité.";"Fort de son expérience en technologie de mobilité, Vulog ambitionne via 
le projet MAASLAB de construire la plateforme de référence des futures 
innovations en matière de mobilité partagée utilisant des voitures autonomes 
et électriques au sein des Smart Cities. Cette plateforme offrira des services 
innovants de partage de trajets, de mobilité prédictive, d’optimisation de 
la maintenance opérationnelle et de recharges intelligentes des flottes de 
véhicules électriques.
Cette plateforme sera alimentée par des données historiques et temps 
réel disponibles à l’échelle mondiale recueillies par les solutions VULOG 
déployées et des données issues de modèles prédictifs de mobilité à horizon 
paramétrables grâce à des solutions de machine learning."
7hugs labs;mars;numérique;36;2;HAUTS-DE-SEINE (92); 3 919 186 €; 1 763 633 €; 2018 - 2020;"SevenHugs a pour activité la fabrication et la commercialisation d’objets 
connectés innovants avec leur application logicielle et se positionne sur 
les applications « Smart Home ». Elle développe la Smart Remote, la 
première technologie, dont le concept est breveté, permettant de contrôler 
intuitivement tous les objets connectés de la maison. ";"La Smart Remote est la première technologie qui permet de contrôler, 
de manière intuitive, aussi simplement qu’un interrupteur tous les objets 
connectés de la maison et d’invoquer des services aisément (météo, Uber, 
Spotify). Le projet vise à développer une plateforme logicielle permettant une 
intégration rapide de nouveaux devices et services et de s’imposer comme 
une boutique d’applications standard pour la maison connectée dans laquelle 
est proposée un accès à des API liées à l’intelligence artifi cielle permettant 
de coder des services intelligents."
acklio;plug & play lpwan connectivity;numérique;37;2;GIRONDE (33); 759 299 €; 341 684 €; 2019 - 2020;"Acklio fournit des solutions logicielles pour activer n’importe quel réseau 
LPWAN avec IP (LoRaWAN, Sigfox, NB-IoT, ...). Elles offrent une interopérabilité 
native, une intégration simple et universelle et une sécurité de bout en bout. 
S’appuyant sur 20 ans de recherches protocoles, architecture et sécurité des 
réseaux, Acklio offre la première implémentation industrielle du nouveau 
standard de compression pour LPWAN.";"Le projet Acklio Plug & Play LPWAN Connectivity vise à mettre au point une 
solution permettant aux entreprises d’intégrer une connectivité LPWAN privée 
pour leurs équipements industriels. La solution permettra de remplacer la 
connectivité fi laire (ou radio courte portée) d’un objet classique IP par une 
connectivité LPWAN tout en maintenant les services IP. Cette transition se 
fera sans modifi cation ni sur l’équipement ni sur les confi gurations du service. 
La solution permet aux industriels d’adopter rapidement le potentiel de ces 
technologies longue portée. C’est pour Acklio le moyen d’ouvrir le marché de 
l’IoT Industriel aux LPWAN."
